//===== Nezumi Script ========================================
//= Einbroch Field Monsters
//===== By: ==================================================
//= Original:	Japanese Athena Developer Team
//= Updated:	Nezumi Developer Team
//===== Current Version: =====================================
//= 1.0.0
//===== Compatible With: =====================================
//= Nezumi 1.0.0 or newer
//============================================================

//==================================================
// einbech - Einbech, The Mining Village
//==================================================
einbech.gat,0,0,0,0	monster	Tarou	1175,5,3600000,1800000,0
ein_fild06.gat,0,0,0,0	monster	Yellow Plant	1081,10,180000,90000,1
ein_fild06.gat,0,0,0,0	monster	Giearth	1121,1,180000,90000,0

//==================================================
// ein_fild07 - Einbroch Field
//==================================================
ein_fild07.gat,0,0,0,0	monster	Metaling	1613,60,0,0
ein_fild07.gat,0,0,0,0	monster	Poring	1002,40,0,0,0
ein_fild07.gat,0,0,0,0	monster	Poporing	1031,20,0,0,0
ein_fild07.gat,0,0,0,0	monster	Flora	1118,20,0,0,0
ein_fild07.gat,0,0,0,0	monster	Geographer	1368,20,0,0,0
ein_fild07.gat,0,0,0,0	monster	Red Mushroom	1085,10,180000,90000,1
ein_fild07.gat,0,0,0,0	monster	Red Plant	1078,10,180000,90000,1
ein_fild07.gat,0,0,0,0	monster	Yellow Plant	1081,10,180000,90000,1
ein_fild07.gat,0,0,0,0	monster	Ungoliant	1618,1,3600000,1800000,1

//==================================================
// ein_fild08 - Einbroch Field
//==================================================
ein_fild08.gat,0,0,0,0	monster	Metaling	1613,70,0,0,0
ein_fild08.gat,0,0,0,0	monster	Thief Bug	1051,30,0,0,0
ein_fild08.gat,0,0,0,0	monster	Porcellio	1619,30,0,0,0
ein_fild08.gat,0,0,0,0	monster	Poporing	1031,20,0,0,0
ein_fild08.gat,0,0,0,0	monster	Poring	1002,20,0,0,0
ein_fild08.gat,0,0,0,0	monster	Drops	1113,20,0,0,0
ein_fild08.gat,0,0,0,0	monster	Red Mushroom	1085,10,180000,90000,1
ein_fild08.gat,0,0,0,0	monster	Red Plant	1078,10,180000,90000,1
ein_fild08.gat,221,80,250,100	monster	Yellow Plant	1081,10,180000,90000,1

//==================================================
// ein_fild09 - Einbroch Field
//==================================================
ein_fild09.gat,0,0,0,0	monster	Thief Bug	1051,40,0,0,0
ein_fild09.gat,0,0,0,0	monster	Metaling	1613,25,0,0
ein_fild09.gat,224,280,200,200	monster	Metaling	1613,5,0,0
ein_fild09.gat,0,0,0,0	monster	Poring	1002,20,0,0,0
ein_fild09.gat,0,0,0,0	monster	Porcellio	1619,10,0,0,0
ein_fild09.gat,0,0,0,0	monster	Drops	1113,10,0,0,0
ein_fild09.gat,265,79,100,100	monster	Thief Bug Egg	1048,3,0,0,0
ein_fild09.gat,265,79,150,80	monster	Red Mushroom	1085,10,180000,90000,1
ein_fild09.gat,0,0,0,0	monster	Red Plant	1078,10,180000,90000,1
ein_fild09.gat,0,0,0,0	monster	Yellow Plant	1081,10,180000,90000,1
ein_fild09.gat,265,79,150,80	monster	Flora	1118,5,300000,150000,1

//==================================================
// ein_fild10 - Einbroch Field
//==================================================
ein_fild10.gat,193,340,200,100	monster	Porcellio	1619,30,0,0,0
ein_fild10.gat,0,0,0,0	monster	Poporing	1031,20,0,0,0
ein_fild10.gat,257,107,90,90	monster	Yoyo	1057,10,0,0,0
ein_fild10.gat,193,340,200,100	monster	Geographer	1368,5,0,0,0
ein_fild10.gat,257,107,90,90	monster	Red Mushroom	1085,10,180000,90000,1
ein_fild10.gat,0,0,0,0	monster	Red Plant	1078,10,180000,90000,1
ein_fild10.gat,0,0,0,0	monster	Yellow Plant	1081,10,180000,90000,1
ein_fild10.gat,257,107,90,90	monster	Flora	1118,20,300000,150000,0
